Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
336,1.0,0.9603000283241272,"[(1, 0.96030194)]",안녕하세용~ 반갑습니당^^ 즐거운 아침을 시작해보렵니다~ 최근 이슈가 되고 있는 <b>아이폰12</b> 프로 모델의 재고 문제에 대해 여러분들께 좋은 정보를 제공해 드리고자 이렇게 포스팅하게 되었답니다~ 광주 아이폰... 
200,1.0,0.9527999758720398,"[(1, 0.9528155)]",방탄필름 전면3매 TGD 트라움가드 <b>아이폰12</b> 퍼펙트 패키지 구성 방탄필름 전면3매 + 강화유리 전면 1매 + 카메라강화유리 1매 + 아머 맥세이프 호환 케이스 + 아이폰 고속충전기 + TGD 클리너 하이브리드... 
793,1.0,0.9478999972343445,"[(0, 0.010420479), (1, 0.9479043), (2, 0.010418953), (3, 0.010419007), (4, 0.010418657), (5, 0.010418671)]","<b>아이폰12</b> PRO MAX 모델은 제 생각보다 스펙이 훨씬 좋았는데요. 색상도 아주 마음에 듭니다. 색상은 퍼시픽 블루, 그래 파이트, 실버, 골드가 제공되는데요. 저는 그중 골드 색상으로 구매했 습니다. 아이폰은... "
380,1.0,0.9478999972343445,"[(0, 0.010419759), (1, 0.9479026), (2, 0.010418636), (3, 0.010420015), (4, 0.010421141), (5, 0.010417825)]",처비캣 <b>아이폰12</b>프로 강화유리필름을 포스팅해보려고합니다! 액정보호필름을 쉽게 끼울수 있게 도와준다는 저 범퍼가 특이하더라구요 갑자기 든생각인데 12프로 리뷰하니까 13....얼른 바꾸고싶네요... 
909,1.0,0.9478999972343445,"[(0, 0.010419907), (1, 0.94790035), (2, 0.010420322), (3, 0.010420284), (4, 0.010419364), (5, 0.010419778)]",벌써 작년이지만 얼마안된 출시된 아이에요 #<b>아이폰12</b>미니 고민했더랬죠 용량별로 가격차이가 있긴하지만 생각보다 큰차이는 아니기에 미니는 넘나귀엽고 가벼우니깐! 제가 #아이폰XS 유저인뎁 이거... 
867,1.0,0.9417999982833862,"[(0, 0.011632283), (1, 0.94184464), (2, 0.011631143), (3, 0.011630091), (4, 0.011630361), (5, 0.011631538)]","아이폰 실버, 화이트톤이 좋아서 사용하다가 이번 <b>아이폰 12</b>pro 디자인을 보니 #그라파이트 인기가 대단하더라구요 핸드폰 케이스가 아닌 기기를 아예 변경할 수 없으니 컬러스킨으로 붙이기만하면 핸드폰... "
245,1.0,0.9417999982833862,"[(0, 0.011629841), (1, 0.9418496), (2, 0.011629671), (3, 0.011629036), (4, 0.011632819), (5, 0.011629069)]",안녕하세요 볼일이 있어 고향 대전에 방문하면서 오랜만에 친구를 만났어요~ 기존 쓰고 있는 아이폰... kt번이로 <b>아이폰12</b> 128기가를 30대로 만났어요ㅎㅎ 플래그쉽 최신 스마트폰의 중저가 가격대로 만나볼 수... 
141,1.0,0.9417999982833862,"[(0, 0.011631122), (1, 0.9418416), (2, 0.011631225), (3, 0.01163237), (4, 0.011632463), (5, 0.011631282)]",하단의 링크로 구매가능한 곳 연결가능 https://www.balim.co.kr/shop_view/?idx=458 #<b>아이폰12</b>케이스 #아이폰케이스추천 #아이폰투명케이스추천 #아이폰젤리케이스 #바림케이스 #바림 #데일리케이스... 
512,1.0,0.9417999982833862,"[(0, 0.011630195), (1, 0.941844), (2, 0.0116329985), (3, 0.011631595), (4, 0.011632014), (5, 0.011629245)]","켰을때 <b>아이폰</b> 마이그레이션으로 1시간 정도 걸려서 옮겼다 후후 쌍둥이같네 오줌액정 등 이슈가... 왼쪽이 <b>12</b> 미니 / 오른쪽이 XS 모델 그립감도, 무게도, 크기도 차이가 확연히 난다 두번째로는 카메라 화질... "
872,1.0,0.9417999982833862,"[(0, 0.0116316425), (1, 0.94184166), (2, 0.011630593), (3, 0.011630868), (4, 0.011632175), (5, 0.01163303)]",있었습니다~ 아이폰맥세이프무선충전기도 문제없이 사용하는 <b>아이폰12</b>프로 알루미늄 범퍼 케이스 뒷면에 살짝(?) 안쪽으로 들어가 있는 프레임은 그립감을 위한 디자인듯 싶은 생각을 하면서 이상 맘에... 
